asset_id,type,inventory,usage_rate,service_days,temperature,repairs,location,status
GENERATOR138,GENERATOR,109,39,235,66,5,BASE_BRAVO,STANDBY
VEHICLE139,VEHICLE,44,53,268,73,5,BASE_CHARLIE,ACTIVE
DRONE140,DRONE,68,74,100,40,1,BASE_CHARLIE,STANDBY
VEHICLE141,VEHICLE,104,100,164,67,5,BASE_ALPHA,STANDBY
TRAILER142,TRAILER,22,16,218,43,5,BASE_BRAVO,ACTIVE
VEHICLE143,VEHICLE,22,89,23,58,0,BASE_DELTA,ACTIVE
TRAILER144,TRAILER,51,5,47,59,3,BASE_CHARLIE,ACTIVE
VEHICLE145,VEHICLE,77,81,145,63,2,BASE_CHARLIE,ACTIVE
FORKLIFT146,FORKLIFT,56,38,182,42,4,BASE_BRAVO,ACTIVE
TRAILER147,TRAILER,145,91,66,68,2,BASE_BRAVO,MAINTENANCE
MEDEVAC148,MEDEVAC,144,6,70,63,1,BASE_ALPHA,MAINTENANCE
GENERATOR149,GENERATOR,101,27,13,45,2,BASE_CHARLIE,ACTIVE
GENERATOR150,GENERATOR,131,39,111,62,3,BASE_CHARLIE,ACTIVE
GENERATOR151,GENERATOR,43,14,287,82,6,BASE_CHARLIE,ACTIVE
DRONE152,DRONE,210,89,172,74,3,BASE_ALPHA,ACTIVE
DRONE153,DRONE,245,78,138,63,4,BASE_ALPHA,ACTIVE
TRUCK154,TRUCK,77,78,44,56,3,BASE_ALPHA,ACTIVE
TRUCK155,TRUCK,129,57,150,50,4,BASE_CHARLIE,STANDBY
VEHICLE156,VEHICLE,17,66,200,42,5,BASE_ALPHA,ACTIVE
GENERATOR157,GENERATOR,51,12,281,51,4,BASE_BRAVO,ACTIVE
TRAILER158,TRAILER,122,85,243,52,3,BASE_CHARLIE,ACTIVE
FORKLIFT159,FORKLIFT,117,60,140,46,1,BASE_ALPHA,ACTIVE
DRONE160,DRONE,244,59,154,66,3,BASE_DELTA,ACTIVE
FORKLIFT161,FORKLIFT,147,51,279,85,8,BASE_DELTA,ACTIVE
GENERATOR162,GENERATOR,87,56,56,69,4,BASE_BRAVO,ACTIVE
TRAILER163,TRAILER,111,81,24,61,2,BASE_ALPHA,ACTIVE
RADIO164,RADIO,399,32,297,44,7,BASE_CHARLIE,STANDBY
TRUCK165,TRUCK,5,89,77,34,1,BASE_DELTA,ACTIVE
DRONE166,DRONE,409,81,215,73,7,BASE_CHARLIE,STANDBY
RADIO167,RADIO,455,93,96,74,4,BASE_DELTA,STANDBY
GENERATOR168,GENERATOR,122,39,216,80,6,BASE_CHARLIE,STANDBY
FORKLIFT169,FORKLIFT,112,48,143,52,5,BASE_CHARLIE,ACTIVE
TRAILER170,TRAILER,22,37,83,49,1,BASE_CHARLIE,STANDBY
VEHICLE171,VEHICLE,76,49,10,48,3,BASE_ALPHA,MAINTENANCE
TRAILER172,TRAILER,127,77,86,56,0,BASE_ALPHA,ACTIVE
VEHICLE173,VEHICLE,5,59,115,69,3,BASE_ALPHA,ACTIVE
TRUCK174,TRUCK,66,32,40,48,0,BASE_ALPHA,STANDBY
GENERATOR175,GENERATOR,142,68,258,50,8,BASE_ALPHA,ACTIVE
TRAILER176,TRAILER,59,76,150,74,5,BASE_BRAVO,MAINTENANCE
MEDEVAC177,MEDEVAC,33,29,194,40,3,BASE_DELTA,ACTIVE
DRONE178,DRONE,424,77,192,68,5,BASE_BRAVO,ACTIVE
VEHICLE179,VEHICLE,16,88,92,55,0,BASE_BRAVO,MAINTENANCE
VEHICLE180,VEHICLE,146,61,82,38,0,BASE_ALPHA,ACTIVE
DRONE181,DRONE,383,39,127,44,3,BASE_DELTA,ACTIVE
TRAILER182,TRAILER,88,71,95,47,3,BASE_DELTA,STANDBY
TRAILER183,TRAILER,148,17,67,48,4,BASE_DELTA,ACTIVE
MEDEVAC184,MEDEVAC,119,66,74,37,2,BASE_CHARLIE,MAINTENANCE
GENERATOR185,GENERATOR,84,60,131,44,2,BASE_ALPHA,STANDBY
MEDEVAC186,MEDEVAC,130,31,184,64,4,BASE_CHARLIE,MAINTENANCE
VEHICLE187,VEHICLE,73,65,99,62,2,BASE_BRAVO,ACTIVE
FORKLIFT188,FORKLIFT,16,50,143,37,3,BASE_ALPHA,MAINTENANCE
DRONE189,DRONE,79,51,210,41,5,BASE_DELTA,STANDBY
VEHICLE190,VEHICLE,97,30,282,56,4,BASE_CHARLIE,STANDBY
DRONE191,DRONE,322,75,11,67,1,BASE_BRAVO,STANDBY
MEDEVAC192,MEDEVAC,100,59,242,45,5,BASE_BRAVO,STANDBY
RADIO193,RADIO,76,68,262,71,8,BASE_BRAVO,ACTIVE
TRUCK194,TRUCK,75,65,36,64,0,BASE_ALPHA,ACTIVE
DRONE195,DRONE,412,64,233,47,7,BASE_BRAVO,STANDBY
FORKLIFT196,FORKLIFT,23,48,206,61,3,BASE_BRAVO,ACTIVE
FORKLIFT197,FORKLIFT,45,30,194,48,2,BASE_BRAVO,ACTIVE
TRAILER198,TRAILER,77,84,89,69,0,BASE_DELTA,ACTIVE
FORKLIFT199,FORKLIFT,29,51,118,47,4,BASE_BRAVO,STANDBY
GENERATOR200,GENERATOR,95,28,219,77,7,BASE_ALPHA,ACTIVE
DRONE201,DRONE,201,33,171,78,5,BASE_ALPHA,STANDBY
TRAILER202,TRAILER,76,36,20,70,2,BASE_CHARLIE,ACTIVE
FORKLIFT203,FORKLIFT,60,42,38,30,0,BASE_DELTA,STANDBY
TRAILER204,TRAILER,127,48,51,53,4,BASE_CHARLIE,ACTIVE
TRAILER205,TRAILER,146,43,255,68,4,BASE_BRAVO,ACTIVE
MEDEVAC206,MEDEVAC,90,23,289,52,7,BASE_DELTA,MAINTENANCE
DRONE207,DRONE,101,49,196,71,6,BASE_CHARLIE,MAINTENANCE
MEDEVAC208,MEDEVAC,110,85,230,68,3,BASE_ALPHA,ACTIVE
TRAILER209,TRAILER,55,16,286,66,7,BASE_ALPHA,ACTIVE
DRONE210,DRONE,191,7,160,49,4,BASE_ALPHA,STANDBY
TRAILER211,TRAILER,28,74,60,51,2,BASE_CHARLIE,STANDBY
GENERATOR212,GENERATOR,128,15,287,59,4,BASE_BRAVO,STANDBY
VEHICLE213,VEHICLE,13,58,210,63,7,BASE_CHARLIE,MAINTENANCE
TRUCK214,TRUCK,95,40,259,42,4,BASE_BRAVO,STANDBY
TRUCK215,TRUCK,11,50,68,72,1,BASE_ALPHA,MAINTENANCE
GENERATOR216,GENERATOR,31,13,289,67,5,BASE_DELTA,ACTIVE
GENERATOR217,GENERATOR,93,19,50,57,1,BASE_DELTA,ACTIVE
RADIO218,RADIO,207,50,256,48,5,BASE_BRAVO,ACTIVE
MEDEVAC219,MEDEVAC,27,9,67,74,2,BASE_CHARLIE,ACTIVE
VEHICLE220,VEHICLE,63,53,240,61,3,BASE_BRAVO,MAINTENANCE
VEHICLE221,VEHICLE,83,49,208,46,6,BASE_DELTA,MAINTENANCE
TRUCK222,TRUCK,81,13,300,63,9,BASE_BRAVO,MAINTENANCE
TRUCK223,TRUCK,72,96,220,58,6,BASE_DELTA,MAINTENANCE
RADIO224,RADIO,112,45,45,62,0,BASE_BRAVO,ACTIVE
GENERATOR225,GENERATOR,135,14,114,48,5,BASE_DELTA,ACTIVE
FORKLIFT226,FORKLIFT,133,69,271,86,8,BASE_ALPHA,MAINTENANCE
FORKLIFT227,FORKLIFT,147,16,299,82,6,BASE_CHARLIE,ACTIVE
RADIO228,RADIO,343,58,112,45,4,BASE_BRAVO,MAINTENANCE
GENERATOR229,GENERATOR,131,88,82,60,0,BASE_DELTA,ACTIVE
TRUCK230,TRUCK,101,14,49,38,1,BASE_BRAVO,ACTIVE
TRUCK231,TRUCK,146,86,157,63,4,BASE_ALPHA,MAINTENANCE
TRUCK232,TRUCK,122,53,218,64,6,BASE_BRAVO,ACTIVE
GENERATOR233,GENERATOR,86,98,223,69,7,BASE_CHARLIE,STANDBY
DRONE234,DRONE,422,18,84,61,2,BASE_CHARLIE,ACTIVE
FORKLIFT235,FORKLIFT,150,47,188,53,4,BASE_ALPHA,ACTIVE
DRONE236,DRONE,474,49,294,51,6,BASE_ALPHA,ACTIVE
RADIO237,RADIO,380,51,81,59,4,BASE_DELTA,MAINTENANCE
VEHICLE238,VEHICLE,69,11,17,58,1,BASE_CHARLIE,ACTIVE
FORKLIFT239,FORKLIFT,109,98,261,74,7,BASE_DELTA,ACTIVE
TRAILER240,TRAILER,32,31,294,80,7,BASE_BRAVO,ACTIVE
RADIO241,RADIO,387,16,300,67,8,BASE_CHARLIE,STANDBY
RADIO242,RADIO,110,47,33,42,3,BASE_BRAVO,ACTIVE
GENERATOR243,GENERATOR,117,93,37,41,1,BASE_ALPHA,ACTIVE
TRUCK244,TRUCK,135,52,280,47,7,BASE_BRAVO,STANDBY
FORKLIFT245,FORKLIFT,147,83,217,84,7,BASE_DELTA,ACTIVE
DRONE246,DRONE,399,23,100,57,5,BASE_BRAVO,MAINTENANCE
MEDEVAC247,MEDEVAC,135,58,36,44,0,BASE_DELTA,ACTIVE
FORKLIFT248,FORKLIFT,81,17,198,49,3,BASE_CHARLIE,MAINTENANCE
RADIO249,RADIO,492,90,94,42,3,BASE_DELTA,ACTIVE
TRUCK250,TRUCK,90,95,177,80,6,BASE_CHARLIE,MAINTENANCE
MEDEVAC251,MEDEVAC,69,10,175,38,2,BASE_CHARLIE,ACTIVE
FORKLIFT252,FORKLIFT,87,49,220,43,4,BASE_DELTA,MAINTENANCE
VEHICLE253,VEHICLE,71,15,14,32,0,BASE_ALPHA,ACTIVE
RADIO254,RADIO,97,37,164,45,2,BASE_CHARLIE,ACTIVE
VEHICLE255,VEHICLE,34,99,39,53,3,BASE_CHARLIE,STANDBY
GENERATOR256,GENERATOR,6,45,45,33,0,BASE_ALPHA,ACTIVE
GENERATOR257,GENERATOR,28,21,188,77,6,BASE_CHARLIE,ACTIVE
FORKLIFT258,FORKLIFT,12,10,16,67,0,BASE_CHARLIE,MAINTENANCE
TRUCK259,TRUCK,145,57,153,64,6,BASE_ALPHA,ACTIVE
TRUCK260,TRUCK,45,85,176,63,2,BASE_BRAVO,ACTIVE
FORKLIFT261,FORKLIFT,48,78,256,85,8,BASE_BRAVO,ACTIVE
RADIO262,RADIO,474,85,23,49,0,BASE_ALPHA,ACTIVE
TRUCK263,TRUCK,71,90,67,51,0,BASE_CHARLIE,STANDBY
DRONE264,DRONE,480,99,102,63,2,BASE_BRAVO,ACTIVE
VEHICLE265,VEHICLE,135,39,36,46,0,BASE_DELTA,ACTIVE
MEDEVAC266,MEDEVAC,149,25,191,54,6,BASE_DELTA,MAINTENANCE
MEDEVAC267,MEDEVAC,48,95,161,59,5,BASE_DELTA,STANDBY
TRUCK268,TRUCK,85,52,183,67,5,BASE_ALPHA,ACTIVE
GENERATOR269,GENERATOR,37,51,172,38,4,BASE_BRAVO,STANDBY
DRONE270,DRONE,411,68,87,42,1,BASE_DELTA,ACTIVE
MEDEVAC271,MEDEVAC,96,45,22,51,0,BASE_CHARLIE,ACTIVE
GENERATOR272,GENERATOR,140,42,281,49,7,BASE_CHARLIE,ACTIVE
MEDEVAC273,MEDEVAC,44,63,36,45,0,BASE_CHARLIE,ACTIVE
TRUCK274,TRUCK,127,30,279,53,8,BASE_ALPHA,MAINTENANCE
DRONE275,DRONE,195,81,224,64,4,BASE_DELTA,MAINTENANCE
GENERATOR276,GENERATOR,96,10,258,78,6,BASE_BRAVO,ACTIVE
FORKLIFT277,FORKLIFT,124,99,287,49,6,BASE_DELTA,STANDBY
DRONE278,DRONE,263,32,226,42,6,BASE_DELTA,MAINTENANCE
TRAILER279,TRAILER,110,97,18,36,1,BASE_CHARLIE,MAINTENANCE
MEDEVAC280,MEDEVAC,98,90,79,58,0,BASE_ALPHA,MAINTENANCE
TRAILER281,TRAILER,134,96,175,53,5,BASE_DELTA,ACTIVE
TRAILER282,TRAILER,121,17,214,66,6,BASE_CHARLIE,STANDBY
VEHICLE283,VEHICLE,143,45,70,73,4,BASE_BRAVO,ACTIVE
RADIO284,RADIO,84,77,65,61,1,BASE_CHARLIE,MAINTENANCE
VEHICLE285,VEHICLE,145,81,195,58,5,BASE_DELTA,ACTIVE
TRAILER286,TRAILER,141,23,147,45,5,BASE_CHARLIE,ACTIVE
FORKLIFT287,FORKLIFT,118,7,178,41,3,BASE_ALPHA,ACTIVE
MEDEVAC288,MEDEVAC,51,57,282,48,8,BASE_BRAVO,STANDBY
MEDEVAC289,MEDEVAC,79,40,92,43,0,BASE_CHARLIE,STANDBY
GENERATOR290,GENERATOR,16,79,264,72,5,BASE_DELTA,STANDBY
DRONE291,DRONE,372,63,166,70,3,BASE_BRAVO,STANDBY
DRONE292,DRONE,83,70,145,55,2,BASE_CHARLIE,STANDBY
FORKLIFT293,FORKLIFT,84,32,206,75,5,BASE_CHARLIE,ACTIVE
FORKLIFT294,FORKLIFT,48,13,297,44,6,BASE_CHARLIE,STANDBY
DRONE295,DRONE,238,22,76,70,4,BASE_BRAVO,ACTIVE
RADIO296,RADIO,372,56,22,56,3,BASE_BRAVO,STANDBY
DRONE297,DRONE,232,34,139,40,2,BASE_BRAVO,ACTIVE
RADIO298,RADIO,138,18,87,71,1,BASE_BRAVO,STANDBY
DRONE299,DRONE,187,47,197,61,5,BASE_DELTA,STANDBY
RADIO300,RADIO,381,83,166,58,4,BASE_ALPHA,ACTIVE
GENERATOR301,GENERATOR,121,100,87,50,2,BASE_CHARLIE,MAINTENANCE
VEHICLE302,VEHICLE,82,80,17,39,1,BASE_BRAVO,ACTIVE
TRAILER303,TRAILER,143,48,93,50,2,BASE_BRAVO,ACTIVE
FORKLIFT304,FORKLIFT,131,95,23,60,0,BASE_ALPHA,ACTIVE
GENERATOR305,GENERATOR,111,58,117,50,4,BASE_BRAVO,STANDBY
DRONE306,DRONE,391,34,238,73,3,BASE_BRAVO,MAINTENANCE
TRAILER307,TRAILER,6,79,252,48,6,BASE_ALPHA,ACTIVE
TRAILER308,TRAILER,53,98,235,47,4,BASE_CHARLIE,ACTIVE
VEHICLE309,VEHICLE,32,19,85,51,3,BASE_DELTA,ACTIVE
TRUCK310,TRUCK,54,50,145,65,1,BASE_ALPHA,MAINTENANCE
FORKLIFT311,FORKLIFT,36,73,272,60,6,BASE_ALPHA,ACTIVE
DRONE312,DRONE,345,72,281,46,4,BASE_CHARLIE,ACTIVE
FORKLIFT313,FORKLIFT,109,54,40,34,2,BASE_DELTA,ACTIVE
DRONE314,DRONE,474,12,56,74,3,BASE_ALPHA,MAINTENANCE
FORKLIFT315,FORKLIFT,106,67,233,76,5,BASE_BRAVO,ACTIVE
VEHICLE316,VEHICLE,72,98,168,77,4,BASE_BRAVO,MAINTENANCE
VEHICLE317,VEHICLE,98,22,223,66,3,BASE_BRAVO,STANDBY
DRONE318,DRONE,51,57,110,54,5,BASE_CHARLIE,ACTIVE
GENERATOR319,GENERATOR,115,80,130,52,2,BASE_CHARLIE,ACTIVE
DRONE320,DRONE,359,64,94,76,3,BASE_ALPHA,STANDBY
TRUCK321,TRUCK,32,91,153,67,2,BASE_CHARLIE,ACTIVE
TRAILER322,TRAILER,45,84,83,34,2,BASE_CHARLIE,ACTIVE
RADIO323,RADIO,224,99,263,57,7,BASE_BRAVO,ACTIVE
TRUCK324,TRUCK,129,20,295,47,5,BASE_CHARLIE,STANDBY
RADIO325,RADIO,162,99,40,39,3,BASE_DELTA,STANDBY
MEDEVAC326,MEDEVAC,61,17,128,65,3,BASE_CHARLIE,MAINTENANCE
GENERATOR327,GENERATOR,113,35,221,59,3,BASE_DELTA,MAINTENANCE
GENERATOR328,GENERATOR,96,53,144,54,1,BASE_ALPHA,ACTIVE
VEHICLE329,VEHICLE,119,42,236,77,7,BASE_BRAVO,ACTIVE
TRUCK330,TRUCK,91,35,221,58,4,BASE_CHARLIE,MAINTENANCE
FORKLIFT331,FORKLIFT,76,66,183,50,4,BASE_BRAVO,MAINTENANCE
MEDEVAC332,MEDEVAC,7,49,140,69,5,BASE_BRAVO,ACTIVE
VEHICLE333,VEHICLE,8,9,16,59,1,BASE_DELTA,ACTIVE
MEDEVAC334,MEDEVAC,150,90,139,71,5,BASE_BRAVO,STANDBY
VEHICLE335,VEHICLE,57,78,127,72,2,BASE_DELTA,ACTIVE
TRAILER336,TRAILER,137,46,143,65,3,BASE_BRAVO,STANDBY
RADIO337,RADIO,355,46,187,36,2,BASE_ALPHA,ACTIVE
MEDEVAC338,MEDEVAC,6,50,231,52,6,BASE_CHARLIE,ACTIVE
